ccode1,ccode2,any_wars,number_years,all_demo,dyad
2,20,FALSE,19,TRUE,220
2,40,FALSE,19,FALSE,240
2,41,FALSE,19,FALSE,241
2,42,FALSE,19,FALSE,242
2,51,FALSE,19,TRUE,251
2,52,FALSE,19,TRUE,252
2,70,FALSE,19,FALSE,270
2,90,FALSE,19,FALSE,290
2,91,FALSE,19,FALSE,291
2,92,FALSE,19,FALSE,292
2,93,FALSE,19,FALSE,293
2,94,FALSE,19,TRUE,294
2,95,FALSE,19,TRUE,295
2,100,FALSE,19,TRUE,2100
2,101,FALSE,19,FALSE,2101
2,110,FALSE,19,FALSE,2110
2,115,FALSE,19,FALSE,2115
2,130,FALSE,19,FALSE,2130
2,135,FALSE,19,FALSE,2135
2,140,FALSE,19,TRUE,2140
2,145,FALSE,19,TRUE,2145
2,150,FALSE,19,FALSE,2150
2,155,FALSE,19,TRUE,2155
2,160,FALSE,19,TRUE,2160
2,165,FALSE,19,TRUE,2165
2,200,FALSE,19,TRUE,2200
2,205,FALSE,19,TRUE,2205
2,210,FALSE,19,TRUE,2210
2,211,FALSE,19,TRUE,2211
2,212,FALSE,19,TRUE,2212
2,220,FALSE,19,TRUE,2220
2,225,FALSE,19,TRUE,2225
2,230,FALSE,19,TRUE,2230
2,235,FALSE,19,TRUE,2235
2,290,FALSE,19,FALSE,2290
2,305,FALSE,19,TRUE,2305
2,310,FALSE,19,FALSE,2310
2,325,FALSE,19,TRUE,2325
2,339,FALSE,19,FALSE,2339
2,345,TRUE,19,FALSE,2345
2,350,FALSE,19,TRUE,2350
2,352,FALSE,19,TRUE,2352
2,355,FALSE,19,FALSE,2355
2,360,FALSE,19,FALSE,2360
2,365,FALSE,19,FALSE,2365
2,375,FALSE,19,TRUE,2375
2,380,FALSE,19,TRUE,2380
2,385,FALSE,19,TRUE,2385
2,390,FALSE,19,TRUE,2390
2,402,FALSE,19,FALSE,2402
2,404,FALSE,19,FALSE,2404
2,411,FALSE,19,FALSE,2411
2,420,FALSE,19,FALSE,2420
2,432,FALSE,19,FALSE,2432
2,433,FALSE,19,FALSE,2433
2,434,FALSE,19,FALSE,2434
2,435,FALSE,19,FALSE,2435
2,436,FALSE,19,FALSE,2436
2,437,FALSE,19,FALSE,2437
2,438,FALSE,19,FALSE,2438
2,439,FALSE,19,FALSE,2439
2,450,FALSE,19,FALSE,2450
2,451,FALSE,19,FALSE,2451
